Age,Gender,Diet,normal BMI,junk food,leather,exercise,vitamins,Non-veg foods are costlier ,vegetarian diet is healthier,fewer varieties ,Why non-veg diet?,days-nv,Why vegetarian diet?,Would you eat  next to a a non-vegetarian?
20,Male,non-vegetarian,No,No,Yes,No,No,Agree,Agree,Disagree,Family habits,2,,
20,Male,non-vegetarian,Yes,Yes,Yes,No,No,Strongly agree,Strongly Disagree,Strongly agree,Taste,4,,Yes
38,Female,vegetarian,No,Yes,Yes,Yes,No,Strongly agree,Strongly agree,Strongly disagree,,,"I don't harm animals, For a better health",No
20,Female,non-vegetarian,Yes,No,Yes,Yes,No,Agree,Agree,Disagree,Family habits,1,,Yes
20,Male,,Yes,Yes,Yes,Yes,No,Agree,Agree,Strongly disagree,Taste,3,,
20,Male,,Yes,No,Yes,Maybe,No,Strongly agree,Strongly agree,Strongly agree,,,,
20,Male,vegetarian,Yes,No,Yes,Maybe,No,Agree,Agree,Agree,,,,
23,Female,vegetarian,No,Yes,Yes,No,No,Agree,Agree,Disagree,Weight-gain,2,,
20,Male,non-vegetarian,Yes,Yes,Yes,Maybe,No,Agree,Disagree,Disagree,Taste,5,,
20,Male,non-vegetarian,Yes,Yes,Yes,No,No,Strongly agree,Strongly Disagree,Disagree,Taste,3,,
20,Male,non-vegetarian,Yes,Yes,Yes,No,No,Strongly Disagree,Strongly Disagree,Strongly agree,,5,,
